"Name","Agent","ID","State","User","Notes","Job Type","Group","Tags","Created","End Time","Updated","Max Test Accuracy","time_mask_param","dropOutProbability","freq_mask_param"
"golden-sweep-103","","v4xyfj4m","finished","","-","","","","2024-07-15T15:29:51.000Z","2024-07-15T15:40:00.000Z","2024-07-15T15:40:00.000Z","0.9326669695592912","50","0","40"
"misunderstood-sweep-29","","rep6ahwk","finished","","-","","","","2024-07-15T07:56:31.000Z","2024-07-15T08:11:32.000Z","2024-07-15T08:11:32.000Z","0.9235801908223534","10","0","20"
"splendid-sweep-70","","lor8k9gw","finished","","-","","","","2024-07-15T12:24:45.000Z","2024-07-15T12:39:53.000Z","2024-07-15T12:39:53.000Z","0.9223080417991822","70","0","30"
"playful-sweep-224","","peh22i1w","finished","","-","","","","2024-07-16T03:08:47.000Z","2024-07-16T03:15:39.000Z","2024-07-16T03:15:39.000Z","0.9214902317128578","70","0.1","30"
"grateful-sweep-65","","g3wzbqpx","finished","","-","","","","2024-07-15T11:40:38.000Z","2024-07-15T11:54:04.000Z","2024-07-15T11:54:04.000Z","0.9204906860517946","20","0","30"
"devoted-sweep-148","","9fpam53g","finished","","-","","","","2024-07-15T19:31:43.000Z","2024-07-15T19:44:32.000Z","2024-07-15T19:44:32.000Z","0.9166742389822808","10","0.1","10"
"true-sweep-440","","vv83cpg5","finished","","-","","","","2024-07-16T21:25:44.000Z","2024-07-16T21:43:41.000Z","2024-07-16T21:43:41.000Z","0.9165833711949114","60","0.3","10"
"stilted-sweep-452","","t59m65qg","finished","","-","","","","2024-07-16T23:00:55.000Z","2024-07-16T23:19:40.000Z","2024-07-16T23:19:40.000Z","0.9158564288959564","40","0.3","20"
"royal-sweep-52","","9ppo2nb7","finished","","-","","","","2024-07-15T10:39:49.000Z","2024-07-15T10:45:49.000Z","2024-07-15T10:45:49.000Z","0.9144025442980463","30","0","20"
"dauntless-sweep-403","","ti13s0iw","finished","","-","","","","2024-07-16T18:08:31.000Z","2024-07-16T18:20:30.000Z","2024-07-16T18:20:30.000Z","0.9141299409359382","40","0.2","50"
"restful-sweep-174","","j3fnm0du","finished","","-","","","","2024-07-15T22:05:53.000Z","2024-07-15T22:26:17.000Z","2024-07-15T22:26:17.000Z","0.9125851885506588","60","0.1","20"
"fanciful-sweep-97","","ptkn88tm","finished","","-","","","","2024-07-15T14:59:26.000Z","2024-07-15T15:05:25.000Z","2024-07-15T15:05:25.000Z","0.9114947751022262","60","0","40"
"likely-sweep-366","","9wnnd6kk","finished","","-","","","","2024-07-16T15:09:04.000Z","2024-07-16T15:24:35.000Z","2024-07-16T15:24:35.000Z","0.9107678328032712","20","0.2","40"
"dashing-sweep-330","","x4cxuhy3","finished","","-","","","","2024-07-16T12:36:32.000Z","2024-07-16T12:47:41.000Z","2024-07-16T12:47:41.000Z","0.9098591549295776","10","0.2","20"
"expert-sweep-511","","clnghiyp","finished","","-","","","","2024-07-17T03:22:27.000Z","2024-07-17T03:45:26.000Z","2024-07-17T03:45:26.000Z","0.9084961381190368","70","0.3","40"
"avid-sweep-396","","x4uspfra","finished","","-","","","","2024-07-16T17:27:22.000Z","2024-07-16T17:35:55.000Z","2024-07-16T17:35:55.000Z","0.90804179918219","40","0.2","50"
"ethereal-sweep-192","","iiz6dmgk","finished","","-","","","","2024-07-16T00:01:22.000Z","2024-07-16T00:08:20.000Z","2024-07-16T00:08:20.000Z","0.9067696501590188","30","0.1","20"
"smart-sweep-333","","n0n254ap","finished","","-","","","","2024-07-16T12:52:25.000Z","2024-07-16T12:59:25.000Z","2024-07-16T12:59:25.000Z","0.9055883689232168","40","0.2","20"
"charmed-sweep-109","","hpt9n16q","finished","","-","","","","2024-07-15T16:09:31.000Z","2024-07-15T16:17:59.000Z","2024-07-15T16:17:59.000Z","0.9044070876874148","40","0","40"
"vivid-sweep-517","","dohxlb42","finished","","-","","","","2024-07-17T04:23:42.000Z","2024-07-17T04:38:15.000Z","2024-07-17T04:38:15.000Z","0.9037710131758292","60","0.3","40"
"pleasant-sweep-278","","jrj0jxp9","finished","","-","","","","2024-07-16T07:51:51.000Z","2024-07-16T08:22:30.000Z","2024-07-16T08:22:30.000Z","0.9024079963652883","50","0.1","50"
"unique-sweep-199","","az47pi3c","finished","","-","","","","2024-07-16T01:05:06.000Z","2024-07-16T01:10:18.000Z","2024-07-16T01:10:18.000Z","0.9023171285779192","30","0.1","30"
"wise-sweep-321","","7fgknxh5","finished","","-","","","","2024-07-16T11:49:47.000Z","2024-07-16T11:56:42.000Z","2024-07-16T11:56:42.000Z","0.9016810540663336","60","0.2","20"
"mild-sweep-166","","bhw0y405","finished","","-","","","","2024-07-15T21:33:37.000Z","2024-07-15T21:40:34.000Z","2024-07-15T21:40:34.000Z","0.901590186278964","50","0.1","10"
"balmy-sweep-411","","k85pm181","finished","","-","","","","2024-07-16T18:55:01.000Z","2024-07-16T19:05:20.000Z","2024-07-16T19:05:20.000Z","0.900863243980009","50","0.2","50"
"swept-sweep-98","","6dau669i","finished","","-","","","","2024-07-15T15:05:31.000Z","2024-07-15T15:15:40.000Z","2024-07-15T15:15:40.000Z","0.9001363016810541","70","0","40"
"royal-sweep-10","","rm9wobl0","finished","","-","","","","2024-07-15T05:58:42.000Z","2024-07-15T06:03:10.000Z","2024-07-15T06:03:10.000Z","0.9000454338936847","30","0","10"
